title,price,location,date,size,price_pm,negotiable
Kolska od NOWA - mieszkanie wsród zieleni na Woli,760000,Warszawa Wola , 26 stycznia 2024,31 , 24516.13 ,False
2 pokoje z ładnym widokiem Saska Kępa balkon,579000,Warszawa Praga Południe , 26 stycznia 2024,37.90 , 15277.04 ,False
Ochota Grójecka 112 WUM UW 22 m2 po remoncie,521000,Warszawa Ochota , 26 stycznia 2024,22 , 23681.82 ,False
Kawalerka Warszawa Bielany Premium,645000,Warszawa Bielany , 26 stycznia 2024,25 , 25800 ,False
Metro Ks. Janusza 39m2 po remoncie z garderobą,679000,Warszawa Wola , 26 stycznia 2024,39.40 , 17233.5 ,False
Bezpośrednio dwupokojowe 35 m2 Warszawa Muranów ul. Bonifraterska,898000,Warszawa Śródmieście , 26 stycznia 2024,34.68 , 25893.89 ,False
Wola/Bemowo - Cesja: Nowe 36m2 z pięknym widokiem,629000,Warszawa Bemowo , 26 stycznia 2024,36 , 17472.22 ,False
Stylowy apartament gotowy do zamieszkania. Wysoki standard wykończenia,1820000,Warszawa Bielany , 26 stycznia 2024,82.50 , 22060.61 ,False
Studio 37 mkw | Balkon | Garaż | Ursus,490000,Warszawa Ursus , 26 stycznia 2024,37 , 13243.24 ,False
Po remoncie 6722m2 3-pok Rembertow,739000,Warszawa Rembertów , 26 stycznia 2024,67.22 , 10993.75 ,False
Okazja!! duży balkon | meble + wyposażenie +2garaż,700000,Warszawa Białołęka , 27 stycznia 2024,51.89 , 13490.08 ,False
Promocja!!! do końca miesiąca 819 tyś,819000,Warszawa Mokotów , 17 stycznia 2024,42.65 , 19202.81 ,False
Metro Bródno/ Kondratowicza/ 3-pokoje/,599000,Warszawa Targówek , 26 stycznia 2024,47.50 , 12610.53 ,False
Jasne mieszkanie w centrum 3-pokoje bezpośrednio,950000,Warszawa Śródmieście , 26 stycznia 2024,50 , 19000 ,False
Warszawa –Mokotów – ul. Śniardwy/Orzycka- 31 m2,515000,Warszawa Mokotów , 26 stycznia 2024,31 , 16612.9 ,False
Nowe Miasto 2 pok. inwestycyjnie.,1399000,Warszawa Śródmieście , 26 stycznia 2024,57.58 , 24296.63 ,False
Mieszkanie w Turcji świetna lokalizacji na bezpiecznym osiedlu w Side,700000,Warszawa Śródmieście , 26 stycznia 2024,80 , 8750 ,True
3 pok. z aneksem kuch.60m2Ursynów ul.Kopcińskiego. do odśwież.,835000,Warszawa Ursynów , 26 stycznia 2024,60 , 13916.67 ,False
2 pokoje przy metrze z widokiem na centrum,600000,Warszawa Wola , 26 stycznia 2024,47 , 12765.96 ,False
mieszkanie 2 pokoje Grójecka róg Korotyńskiego,549000,Warszawa Ochota , 26 stycznia 2024,37 , 14837.84 ,False
2 Pokoje Potockiego 5 przy Pałacu Jana III!,679000,Warszawa Wilanów , 26 stycznia 2024,45.60 , 14890.35 ,False
Złota 44 151 m2! 3 sypialnie! W pełni umeblowany!,8990000,Warszawa , 26 stycznia 2024,151 , 59536.42 ,False
2 pokoje z balkonem garażem i komórką.,745000,Warszawa Praga Południe , 27 stycznia 2024,51.95 , 14340.71 ,False
atrakcyjne 4-pokoje bezpośrednio Wawer,970000,Warszawa Wawer , 04 stycznia 2024,84 , 11547.62 ,False
mieszkanie Targówek Radzymińska,1045000,Warszawa Targówek , 10 stycznia 2024,80.50 , 12981.37 ,False
Krochmalna 2 do remontu Studio,549000,Warszawa Śródmieście , 26 stycznia 2024,28 , 19607.14 ,False
2 pokoje 295m2 Praga południe ul. Osowska,530000,Warszawa Praga Południe , 26 stycznia 2024,29.50 , 17966.1 ,False
Al. Niepodległości Metro Racławicka 60 m,1259000,Warszawa Mokotów , 26 stycznia 2024,60 , 20983.33 ,False
2 pok do odśw/remontu ładny widok - Renesansowa,595000,Warszawa Bielany , 26 stycznia 2024,45.60 , 13048.25 ,False
Mieszkanie na Myśliborskiej- Tarchomin 475 m2 BEZPOŚREDNIO,640000,Warszawa Białołęka , 26 stycznia 2024,47.40 , 13502.11 ,True
LUX 2 pokoje Lwowska 1 PL. POLITECHNIKI METRO!,917000,Warszawa Śródmieście , 26 stycznia 2024,34 , 26970.59 ,False
